,created_date,project,campaign,unitname,reqnum,attnum,pfw_attempt_id,status_orig,data_state,operator,pipeline,start_time,end_time,total time,target_site,submit_site,exec_host,status,propid,expnum,band,nite,db,assessment,program,t_eff,b_eff,c_eff,f_eff,total_time
472,2019-05-08 14:15:46.994610,ACT,Y5A1_FAST,D00475539,4371,30,2673719,,NEW,friedel,finalcut,2019-05-08 14:15:54.606611,,,descmp4,dessub,descmp4.cosmology.illinois.edu,,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,
200,2019-05-08 13:49:21.745442,ACT,Y5A1_FAST,D00475539,4371,29,2671782,1.0,NEW,friedel,finalcut,2019-05-08 13:49:29.889817,2019-05-08 14:02:07.000000,0.211,descmp4,dessub,descmp4.cosmology.illinois.edu,1.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.211
471,2019-05-08 11:59:13.306559,ACT,Y5A1_FAST,D00475539,4371,24,2673716,1.0,NEW,friedel,finalcut,2019-05-08 11:59:21.657826,,,descmp4,dessub,,1.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,
673,2019-05-08 11:22:47.043337,ACT,Y5A1_FAST,D00475539,4371,23,2671780,2.0,NEW,friedel,finalcut,2019-05-08 11:22:55.706118,2019-05-08 11:36:14.000000,0.222,descmp4,dessub,descmp4.cosmology.illinois.edu,2.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.222
335,2019-05-08 09:14:30.204284,ACT,Y5A1_FAST,D00475539,4371,22,2670780,1.0,NEW,friedel,finalcut,2019-05-08 09:14:38.237642,2019-05-08 09:26:20.000000,0.195,descmp4,dessub,descmp4.cosmology.illinois.edu,1.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.195
817,2019-05-08 08:44:52.573499,ACT,Y5A1_FAST,D00475539,4371,21,2671779,140.0,NEW,friedel,finalcut,2019-05-08 08:45:00.679702,2019-05-08 08:56:53.000000,0.198,descmp4,dessub,descmp4.cosmology.illinois.edu,140.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.198
511,2019-05-07 16:17:33.769418,ACT,Y5A1_FAST,D00475539,4371,20,2671764,2.0,NEW,friedel,finalcut,2019-05-07 16:17:41.705874,2019-05-07 16:29:36.000000,0.199,descmp4,dessub,descmp4.cosmology.illinois.edu,2.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.199
510,2019-05-07 15:58:52.871418,ACT,Y5A1_FAST,D00475539,4371,19,2671763,1.0,NEW,friedel,finalcut,2019-05-07 15:59:00.719869,2019-05-07 16:11:34.000000,0.209,descmp4,dessub,descmp4.cosmology.illinois.edu,1.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.209
1110,2019-05-07 12:56:29.184231,ACT,Y5A1_FAST,D00475539,4371,17,2671759,2.0,NEW,friedel,finalcut,2019-05-07 12:56:37.934923,2019-05-07 13:09:26.000000,0.214,descmp4,dessub,descmp4.cosmology.illinois.edu,2.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.214
947,2019-05-07 12:31:11.285814,ACT,Y5A1_FAST,D00475539,4371,16,2670766,2.0,NEW,friedel,finalcut,2019-05-07 12:31:20.404741,2019-05-07 12:46:01.000000,0.245,descmp4,dessub,descmp4.cosmology.illinois.edu,2.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.245
1079,2019-05-07 11:52:33.278485,ACT,Y5A1_FAST,D00475539,4371,15,2672742,1.0,NEW,friedel,finalcut,2019-05-07 11:52:43.320690,2019-05-07 11:55:04.000000,0.039,descmp4,dessub,descmp4.cosmology.illinois.edu,1.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.039
497,2019-05-07 11:25:17.356635,ACT,Y5A1_FAST,D00475539,4371,14,2670765,1.0,NEW,friedel,finalcut,2019-05-07 11:25:24.601955,2019-05-07 11:33:44.000000,0.139,descmp4,dessub,descmp4.cosmology.illinois.edu,1.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.139
1109,2019-05-07 10:00:08.743520,ACT,Y5A1_FAST,D00475539,4371,13,2671756,1.0,NEW,friedel,finalcut,2019-05-07 10:00:16.277127,2019-05-07 10:08:55.000000,0.144,descmp4,dessub,descmp4.cosmology.illinois.edu,1.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.144
340,2019-05-07 09:34:54.131231,ACT,Y5A1_FAST,D00475539,4371,12,2671755,1.0,NEW,friedel,finalcut,2019-05-07 09:35:01.646864,2019-05-07 09:44:15.000000,0.154,descmp4,dessub,descmp4.cosmology.illinois.edu,1.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.154
310,2019-05-07 09:19:16.681921,ACT,Y5A1_FAST,D00475539,4371,11,2672741,5.0,JUNK,friedel,finalcut,2019-05-07 09:19:24.439381,,,descmp4,dessub,,5.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,
946,2019-05-07 09:09:52.912000,ACT,Y5A1_FAST,D00475539,4371,10,2670764,1.0,NEW,friedel,finalcut,2019-05-07 09:09:59.107188,,,descmp4,dessub,,1.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,
1102,2019-05-07 08:56:52.434774,ACT,Y5A1_FAST,D00475539,4371,8,2670762,1.0,NEW,friedel,finalcut,2019-05-07 08:56:59.437074,,,descmp4,dessub,,1.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,
344,2019-05-06 15:31:54.939656,ACT,Y5A1_FAST,D00475539,4371,6,2672725,8.0,NEW,friedel,finalcut,2019-05-06 15:32:02.533233,2019-05-06 15:44:23.000000,0.206,descmp4,dessub,descmp4.cosmology.illinois.edu,8.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.206
51,2019-05-06 14:48:38.408862,ACT,Y5A1_FAST,D00475539,4371,5,2671738,0.0,NEW,friedel,finalcut,2019-05-06 14:48:46.659827,2019-05-06 15:13:20.000000,0.409,descmp4,dessub,descmp4.cosmology.illinois.edu,0.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.409
812,2019-05-06 12:48:24.088642,ACT,Y5A1_FAST,D00475539,4371,4,2671737,2.0,NEW,friedel,finalcut,2019-05-06 12:48:32.109549,2019-05-06 13:07:42.000000,0.319,descmp4,dessub,descmp4.cosmology.illinois.edu,2.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.319
343,2019-05-06 09:25:15.835658,ACT,Y5A1_FAST,D00475539,4371,3,2672723,0.0,NEW,friedel,finalcut,2019-05-06 09:25:23.016999,2019-05-06 11:53:17.000000,2.465,descmp4,dessub,descmp4.cosmology.illinois.edu,0.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,2.465
840,2019-05-03 16:23:35.455716,ACT,Y5A1_FAST,D00475539,4371,2,2667715,1.0,NEW,friedel,finalcut,2019-05-03 16:23:45.161869,2019-05-03 17:21:06.000000,0.956,descmp4,dessub,descmp4.cosmology.illinois.edu,1.0,2012B-0001,475539.0,g,20150915,desoper,None,None,None,None,None,None,0.956
