,created_date,project,campaign,unitname,reqnum,attnum,pfw_attempt_id,status_orig,data_state,operator,pipeline,start_time,end_time,total time,target_site,submit_site,exec_host,status,propid,expnum,band,nite,db,assessment,program,t_eff,b_eff,c_eff,f_eff,total_time
4,2019-04-29 12:46:44.526315,ACT,Y5A1,DES2321-4914,4346,1,2657718,0.0,NEW,mjohns44,multiepoch,2019-04-29 12:46:54.498700,2019-04-29 21:42:31.000000,8.927,descampuscluster,descmp2,ccc0004.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,8.927
3,2019-04-29 12:46:25.535939,ACT,Y5A1,DES2055-4706,4346,1,2658716,0.0,NEW,mjohns44,multiepoch,2019-04-29 12:46:33.402427,2019-04-29 22:00:47.000000,9.237,descampuscluster,descmp2,ccc0003.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,9.237
26,2019-04-29 12:47:56.477029,ACT,Y5A1,DES0533-4206,4346,1,2657721,0.0,NEW,mjohns44,multiepoch,2019-04-29 12:48:08.168233,2019-04-29 21:52:19.000000,9.07,descampuscluster,descmp2,ccc0004.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,9.07
25,2019-04-29 12:47:38.201209,ACT,Y5A1,DES0452-3540,4346,1,2657720,0.0,NEW,mjohns44,multiepoch,2019-04-29 12:47:46.333959,2019-04-29 21:49:02.000000,9.021,descampuscluster,descmp2,ccc0011.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,9.021
46,2019-04-29 12:47:19.858539,ACT,Y5A1,DES0225-3540,4346,1,2658717,0.0,NEW,mjohns44,multiepoch,2019-04-29 12:47:31.309873,2019-04-29 21:40:27.000000,8.882,descampuscluster,descmp2,ccc0018.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,8.882
44,2019-04-29 12:47:02.154649,ACT,Y5A1,DES0217-3749,4346,1,2657719,0.0,NEW,mjohns44,multiepoch,2019-04-29 12:47:09.339949,2019-04-29 19:59:36.000000,7.207,descampuscluster,descmp2,ccc0018.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,7.207
