,created_date,project,campaign,unitname,reqnum,attnum,pfw_attempt_id,status_orig,data_state,operator,pipeline,start_time,end_time,total time,target_site,submit_site,exec_host,status,propid,expnum,band,nite,db,assessment,program,t_eff,b_eff,c_eff,f_eff,total_time
45,2019-05-01 14:31:49.014341,ACT,Y5A1,DES2321-4914,4350,2,2661717,0.0,NEW,mjohns44,multiepoch,2019-05-01 14:32:02.437056,2019-05-02 00:23:54.000000,9.864,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,9.864
35,2019-04-30 08:59:48.660729,ACT,Y5A1,DES2321-4914,4350,1,2658719,0.0,NEW,mjohns44,multiepoch,2019-04-30 08:59:59.703354,2019-04-30 19:17:54.000000,10.299,descampuscluster,descmp2,ccc0003.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,10.299
2,2019-05-01 14:31:25.202634,ACT,Y5A1,DES2055-4706,4350,2,2661716,0.0,NEW,mjohns44,multiepoch,2019-05-01 14:31:35.157362,2019-05-02 01:37:09.000000,11.093,descampuscluster,descmp2,ccc0003.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,11.093
46,2019-04-30 08:59:30.112909,ACT,Y5A1,DES2055-4706,4350,1,2658718,0.0,NEW,mjohns44,multiepoch,2019-04-30 08:59:37.085459,2019-04-30 19:16:34.000000,10.283,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,10.283
26,2019-05-01 14:33:12.075679,ACT,Y5A1,DES0533-4206,4350,2,2663715,0.0,NEW,mjohns44,multiepoch,2019-05-01 14:33:19.610755,2019-05-02 00:37:13.000000,10.065,descampuscluster,descmp2,ccc0003.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,10.065
3,2019-04-30 09:00:59.790114,ACT,Y5A1,DES0533-4206,4350,1,2658721,0.0,NEW,mjohns44,multiepoch,2019-04-30 09:01:11.623752,2019-04-30 17:54:12.000000,8.884,descampuscluster,descmp2,ccc0003.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,8.884
27,2019-05-01 14:32:53.274266,ACT,Y5A1,DES0452-3540,4350,2,2662716,0.0,NEW,mjohns44,multiepoch,2019-05-01 14:33:04.474470,2019-05-02 00:34:25.000000,10.023,descampuscluster,descmp2,ccc0003.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,10.023
8,2019-04-30 09:00:42.486896,ACT,Y5A1,DES0452-3540,4350,1,2658720,0.0,NEW,mjohns44,multiepoch,2019-04-30 09:00:49.265701,2019-04-30 17:23:08.000000,8.372,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,8.372
7,2019-05-01 14:32:33.285384,ACT,Y5A1,DES0225-3540,4350,2,2662715,0.0,NEW,mjohns44,multiepoch,2019-05-01 14:32:43.370204,2019-05-01 23:35:52.000000,9.053,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,9.053
4,2019-04-30 09:00:24.295608,ACT,Y5A1,DES0225-3540,4350,1,2659716,0.0,NEW,mjohns44,multiepoch,2019-04-30 09:00:36.329843,2019-04-30 16:39:48.000000,7.653,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,7.653
34,2019-05-01 14:32:14.178920,ACT,Y5A1,DES0217-3749,4350,2,2661718,0.0,NEW,mjohns44,multiepoch,2019-05-01 14:32:22.527886,2019-05-01 23:41:12.000000,9.147,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,9.147
12,2019-04-30 09:00:06.799102,ACT,Y5A1,DES0217-3749,4350,1,2656717,0.0,NEW,mjohns44,multiepoch,2019-04-30 09:00:14.742409,2019-04-30 16:48:33.000000,7.805,descampuscluster,descmp2,ccc0003.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,7.805
