,created_date,project,campaign,unitname,reqnum,attnum,pfw_attempt_id,status_orig,data_state,operator,pipeline,start_time,end_time,total time,target_site,submit_site,exec_host,status,propid,expnum,band,nite,db,assessment,program,t_eff,b_eff,c_eff,f_eff,total_time
12,2019-04-29 09:42:01.333204,ACT,Y5A1,DES2321-4914,4344,1,2657715,0.0,NEW,mjohns44,multiepoch,2019-04-29 09:42:05.426990,2019-04-30 05:54:43.000000,20.211,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,20.211
41,2019-04-29 09:41:51.782073,ACT,Y5A1,DES2055-4706,4344,1,2656715,0.0,NEW,mjohns44,multiepoch,2019-04-29 09:42:00.562290,2019-04-30 07:48:23.000000,22.106,descampuscluster,descmp2,ccc0018.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,22.106
2,2019-04-29 09:42:34.364620,ACT,Y5A1,DES0533-4206,4344,1,2658715,0.0,NEW,mjohns44,multiepoch,2019-04-29 09:42:39.011831,2019-04-30 06:44:59.000000,21.039,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,21.039
40,2019-04-29 09:42:25.842109,ACT,Y5A1,DES0452-3540,4344,1,2656716,0.0,NEW,mjohns44,multiepoch,2019-04-29 09:42:35.317984,2019-04-30 04:46:07.000000,19.059,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,19.059
61,2019-04-29 09:42:17.708529,ACT,Y5A1,DES0225-3540,4344,1,2657717,0.0,NEW,mjohns44,multiepoch,2019-04-29 09:42:25.188960,2019-04-30 03:11:26.000000,17.484,descampuscluster,descmp2,ccc0003.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,17.484
69,2019-04-29 09:42:09.627305,ACT,Y5A1,DES0217-3749,4344,1,2657716,0.0,NEW,mjohns44,multiepoch,2019-04-29 09:42:12.526877,2019-04-30 04:03:10.000000,18.349,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,18.349
