,created_date,project,campaign,unitname,reqnum,attnum,pfw_attempt_id,status_orig,data_state,operator,pipeline,start_time,end_time,total time,target_site,submit_site,exec_host,status,propid,expnum,band,nite,db,assessment,program,t_eff,b_eff,c_eff,f_eff,total_time
338,2019-05-06 11:51:05.087483,ACT,Y5A1,DES2321-4957,4398,2,2671735,0.0,NEW,mjohns44,multiepoch,2019-05-06 11:51:16.925958,2019-05-07 00:19:38.000000,12.473,descampuscluster,descmp2,ccc0018.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,12.473
1096,2019-05-06 11:25:41.893792,ACT,Y5A1,DES2321-4957,4398,1,2670727,8.0,NEW,mjohns44,multiepoch,2019-05-06 11:25:49.295543,2019-05-06 11:47:17.000000,0.358,descampuscluster,descmp2,ccc0003.campuscluster.illinois.edu,8.0,,,,,desoper,None,None,None,None,None,None,0.358
50,2019-05-06 11:50:46.819633,ACT,Y5A1,DES2321-4914,4398,2,2671734,0.0,NEW,mjohns44,multiepoch,2019-05-06 11:50:54.284946,2019-05-07 01:21:02.000000,13.502,descampuscluster,descmp2,ccc0003.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,13.502
337,2019-05-06 11:25:23.555659,ACT,Y5A1,DES2321-4914,4398,1,2671730,8.0,NEW,mjohns44,multiepoch,2019-05-06 11:25:36.667125,2019-05-06 11:46:14.000000,0.344,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,8.0,,,,,desoper,None,None,None,None,None,None,0.344
49,2019-05-06 11:50:28.487374,ACT,Y5A1,DES2321-4831,4398,2,2671733,0.0,NEW,mjohns44,multiepoch,2019-05-06 11:50:39.942362,2019-05-07 01:28:19.000000,13.628,descampuscluster,descmp2,ccc0003.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,13.628
494,2019-05-06 11:25:05.442592,ACT,Y5A1,DES2321-4831,4398,1,2670726,8.0,NEW,mjohns44,multiepoch,2019-05-06 11:25:13.621671,2019-05-06 11:47:55.000000,0.378,descampuscluster,descmp2,ccc0003.campuscluster.illinois.edu,8.0,,,,,desoper,None,None,None,None,None,None,0.378
507,2019-05-06 11:51:22.638722,ACT,Y5A1,DES2258-5705,4398,2,2671736,0.0,NEW,mjohns44,multiepoch,2019-05-06 11:51:29.832375,2019-05-07 00:32:29.000000,12.683,descampuscluster,descmp2,ccc0018.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,12.683
658,2019-05-06 11:25:59.975584,ACT,Y5A1,DES2258-5705,4398,1,2670728,8.0,NEW,mjohns44,multiepoch,2019-05-06 11:26:11.448647,2019-05-06 11:50:14.000000,0.401,descampuscluster,descmp2,ccc0018.campuscluster.illinois.edu,8.0,,,,,desoper,None,None,None,None,None,None,0.401
331,2019-05-06 11:50:10.869726,ACT,Y5A1,DES0618-5748,4398,2,2670731,0.0,NEW,mjohns44,multiepoch,2019-05-06 11:50:18.086963,2019-05-06 21:44:07.000000,9.897,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,9.897
1107,2019-05-06 11:24:47.136852,ACT,Y5A1,DES0618-5748,4398,1,2671729,8.0,NEW,mjohns44,multiepoch,2019-05-06 11:24:59.594786,2019-05-06 11:49:54.000000,0.415,descampuscluster,descmp2,ccc0018.campuscluster.illinois.edu,8.0,,,,,desoper,None,None,None,None,None,None,0.415
942,2019-05-06 11:49:52.719050,ACT,Y5A1,DES0534-3914,4398,2,2670730,0.0,NEW,mjohns44,multiepoch,2019-05-06 11:50:05.534198,2019-05-07 00:29:52.000000,12.663,descampuscluster,descmp2,ccc0018.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,12.663
505,2019-05-06 11:24:29.223831,ACT,Y5A1,DES0534-3914,4398,1,2671728,8.0,NEW,mjohns44,multiepoch,2019-05-06 11:24:37.006650,2019-05-06 11:48:37.000000,0.4,descampuscluster,descmp2,ccc0018.campuscluster.illinois.edu,8.0,,,,,desoper,None,None,None,None,None,None,0.4
47,2019-05-06 11:49:34.733301,ACT,Y5A1,DES0434-5248,4398,2,2671732,0.0,NEW,mjohns44,multiepoch,2019-05-06 11:49:42.983294,2019-05-06 20:18:07.000000,8.474,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,8.474
1116,2019-05-06 11:24:10.877473,ACT,Y5A1,DES0434-5248,4398,1,2672724,8.0,NEW,mjohns44,multiepoch,2019-05-06 11:24:23.935972,2019-05-06 11:48:16.000000,0.398,descampuscluster,descmp2,ccc0003.campuscluster.illinois.edu,8.0,,,,,desoper,None,None,None,None,None,None,0.398
659,2019-05-06 11:49:16.900858,ACT,Y5A1,DES0337-5748,4398,2,2670729,0.0,NEW,mjohns44,multiepoch,2019-05-06 11:49:27.397009,2019-05-07 01:31:35.000000,13.702,descampuscluster,descmp2,ccc0003.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,13.702
493,2019-05-06 11:23:52.789183,ACT,Y5A1,DES0337-5748,4398,1,2670725,8.0,NEW,mjohns44,multiepoch,2019-05-06 11:24:02.304980,2019-05-06 11:44:31.000000,0.341,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,8.0,,,,,desoper,None,None,None,None,None,None,0.341
45,2019-05-06 11:48:58.998938,ACT,Y5A1,DES0330-3249,4398,2,2671731,0.0,NEW,mjohns44,multiepoch,2019-05-06 11:49:06.012425,2019-05-06 20:11:55.000000,8.38,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,0.0,,,,,desoper,None,None,None,None,None,None,8.38
330,2019-05-06 11:23:33.173496,ACT,Y5A1,DES0330-3249,4398,1,2670724,8.0,NEW,mjohns44,multiepoch,2019-05-06 11:23:41.254974,2019-05-06 11:44:12.000000,0.342,descampuscluster,descmp2,ccc0017.campuscluster.illinois.edu,8.0,,,,,desoper,None,None,None,None,None,None,0.342
